"sc-rbbb40-0","sc-rbbb40-0 2","sc-rbbb40-0 3","sc-1hez2tp-0","sc-1hez2tp-0 2","sc-rbbb40-0 4","sc-s1isp7-5 src","sc-s1isp7-5 src 2","sc-s1isp7-5 src 3","sc-1hez2tp-0 3","sc-s1isp7-5 src 4","sc-1hez2tp-0 4","sc-s1isp7-5 src 5","sc-1hez2tp-0 5","sc-s1isp7-5 src 6","sc-1hez2tp-0 6","sc-s1isp7-5 src 7","sc-1hez2tp-0 7","sc-s1isp7-5 src 8","sc-1hez2tp-0 8","sc-s1isp7-5 src 9","sc-1hez2tp-0 9","sc-s1isp7-5 src 10","sc-1hez2tp-0 10","sc-s1isp7-5 src 11","sc-1hez2tp-0 11","sc-s1isp7-5 src 12","sc-1hez2tp-0 12","sc-1hp8d8a-0","sc-1q7bklc-1","sc-1hp8d8a-0 2","sc-1q7bklc-1 2","sc-1hez2tp-0 13","sc-1hez2tp-0 14","sc-s1isp7-5 src 13","sc-s1isp7-5 src 14","sc-s1isp7-5 src 15","sc-1hez2tp-0 15","sc-1hez2tp-0 16","sc-1hp8d8a-0 3","sc-1q7bklc-1 3","sc-1hez2tp-0 17","sc-1hez2tp-0 18","sc-s1isp7-5 src 16","sc-1hez2tp-0 19","sc-s1isp7-5 src 17","sc-1hez2tp-0 20","sc-s1isp7-5 src 18","sc-1hez2tp-0 21","sc-s1isp7-5 src 19","sc-s1isp7-5 src 20","sc-s1isp7-5 src 21","sc-jGFFOr href","sc-jGFFOr href 2","sc-jGFFOr href 3"
"star-fill","","star-fill","50% OFF up to 100","43 min","star-fill","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","Mithai","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹250 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","100+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/kandivali-west-restaurants","100+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","","53 min","","Chinese, Asian, Sichuan, Seafood","","₹250 for one","","Restaurant partner follows WHO protocol","Shree Mithai","4.0","Chinese Food Co.","","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","47 min","Peek A Boo","-","Continental, Asian, Salad, Beverages, Shake, Pizza","₹250 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","Restaurant partner follows WHO protocol","","","","","","","","https://www.zomato.com/mumbai/shree-mithai-4-dahisar-east/order","https://www.zomato.com/mumbai/chinese-food-co-goregaon-west/order","https://www.zomato.com/mumbai/peek-a-boo-malad-west/order"
"star-fill","","star-fill","50% OFF up to 100","56 min","","https://www.zomato.com/mumbai/kandivali-west-restaurants","","","Gujarati","","₹250 for one","","","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","63 min","","North Indian, Chinese, Fast Food, Sichuan","","₹250 for one","","50% OFF up to 100","","","Shree Khodiyar Kathiyawadi Dhaba","3.0","China Chopstick","","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","60 min","Salads & Grills Co.","3.9","Salad, Healthy Food, Mexican, Continental, Beverages, Greek, Modern Indian, Shake","₹250 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","500+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/kandivali-west-restaurants","500+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/shree-khodiyar-kathiyawadi-dhaba-goregaon-west/order","https://www.zomato.com/mumbai/china-chopstick-dahisar-east/order","https://www.zomato.com/mumbai/salads-grills-co-andheri-lokhandwala/order"
"","star-fill","star-fill","50% OFF up to 100","50 min","","https://www.zomato.com/mumbai/kandivali-west-restaurants","","","North Indian, Italian, Pizza, Continental, Bar Food, Biryani, Beverages, Desserts","","₹250 for one","","","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","45 min","https://www.zomato.com/mumbai/kandivali-west-restaurants","North Indian, Chinese, Continental","","₹250 for one","","50% OFF up to 100","","50+ orders placed from here recently","Glocal Junction","","Open Your Soda Bottle","3.5","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","58 min","Star Biryani","3.5","Mughlai, Biryani, Kebab","₹250 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","","","","","","","","https://www.zomato.com/mumbai/glocal-junction-malad-west/order","https://www.zomato.com/mumbai/open-your-soda-bottle-malad-west/order","https://www.zomato.com/mumbai/star-biryani-malad-east/order"
"","star-fill","star-fill","50% OFF up to 100","49 min","","https://www.zomato.com/mumbai/kandivali-west-restaurants","","","Bakery, Desserts","","₹100 for one","","Follows all Max Safety measures to ensure your food is safe","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/kandivali-west-restaurants","63 min","","Biryani, Fast Food, Kebab, Beverages","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹100 for one","","225+ orders placed from here recently","Bangalore Iyengar’s Cake Palace","","Biryani Palace","4.1","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","37 min","Rutuja Fast Food","3.8","Pizza, Burger, Fast Food, Street Food, Pasta","₹100 for one","","","","","","","","","","https://www.zomato.com/mumbai/bangalore-iyengars-cake-palace-goregaon-west/order","https://www.zomato.com/mumbai/biryani-palace-malad-east/order","https://www.zomato.com/mumbai/rutuja-fast-food-malad-west/order"
"","star-fill","star-fill","50% OFF up to 100","51 min","","https://www.zomato.com/mumbai/kandivali-west-restaurants","","","Fast Food, Street Food, Pizza, Burger, North Indian","","₹100 for one","","","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","44 min","","Beverages, Desserts","","₹100 for one","","50% OFF up to 100","","","Nirmal Kitchen","","D Creation Surat Coco","-","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","65 min","Eat Sleep Weed Repeat","-","North Indian, Mughlai, Biryani","₹100 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","","","","","","","","https://www.zomato.com/mumbai/nirmal-kitchen-malad-west/order","https://www.zomato.com/mumbai/d-creation-surat-coco-malad-west/order","https://www.zomato.com/mumbai/eat-sleep-weed-repeat-1-goregaon-east/order"
"star-fill","","star-fill","50% OFF up to 100","65 min","","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","","Chinese, North Indian, Sichuan","","₹100 for one","","Follows all Max Safety measures to ensure your food is safe","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","","32 min","","Desserts, Ice Cream, Beverages, Shake","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹100 for one","","Follows all Max Safety measures to ensure your food is safe","Str'Eats' 21","2.9","Scoop This Way","","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","42 min","Bamboo Kitchen","4.1","Chinese, Momos, Thai, Biryani","₹100 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","450+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/kandivali-west-restaurants","450+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/streats-21-goregaon-east/order","https://www.zomato.com/mumbai/scoop-this-way-malad-west/order","https://www.zomato.com/mumbai/bamboo-kitchen-malad-east/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","50 min","","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","Chinese, Lebanese, Thai, Sichuan","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹100 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","100+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/kandivali-west-restaurants","100+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","","45 min","","Chinese, Oriental, Thai, Mughlai, Seafood","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹100 for one","","Follows all Max Safety measures to ensure your food is safe","Szechuan Time","3.6","Hoy Maharaja","4.2","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","50 min","Chinese Lighthouse","3.7","Chinese, Lebanese, Momos, Thai, Sichuan, Biryani","₹100 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","","","","","","","","https://www.zomato.com/mumbai/szechuan-time-malad-east/order","https://www.zomato.com/mumbai/hoy-maharaja-malad-east/order","https://www.zomato.com/mumbai/chinese-lighthouse-malad-east/order"
"","star-fill","star-fill","50% OFF up to 100","55 min","","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","Shawarma","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹200 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","50+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/kandivali-west-restaurants","50+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","41 min","","Burger, Street Food, Pasta, Pizza, Fast Food, North Indian, Italian","","₹200 for one","","50% OFF up to 100","","","Jaadugar Shawarma","","Vedant Kitchen","-","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","59 min","Dessert Delight","-","Bakery, Desserts","₹200 for one","","","","","","","","","","https://www.zomato.com/mumbai/jaadugar-shawarma-malad-east/order","https://www.zomato.com/mumbai/vedant-kitchen-kandivali-west/order","https://www.zomato.com/mumbai/dessert-delight-goregaon-east/order"
"","","star-fill","50% OFF up to 100","49 min","star-fill","https://www.zomato.com/mumbai/kandivali-west-restaurants","","","Chinese, Thai, Momos, Lebanese, Asian, Sichuan","","₹200 for one","","50+ orders placed from here recently","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/kandivali-west-restaurants","41 min","","Lebanese","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹200 for one","","Follows all Max Safety measures to ensure your food is safe","Darjeeling Momos & Rolls","","Khan Sahab's Shawarma","","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","60 min","Publiq Xpress","-","Chinese","₹200 for one","","","","","","","","","","https://www.zomato.com/mumbai/darjeeling-momos-rolls-malad-east/order","https://www.zomato.com/mumbai/khan-sahabs-shawarma-1-malad-east/order","https://www.zomato.com/mumbai/publiq-xpress-oshiwara/order"
"","star-fill","star-fill","50% OFF up to 100","25 min","","https://www.zomato.com/mumbai/kandivali-west-restaurants","","","Beverages, Street Food","","₹200 for one","","Restaurant partner follows WHO protocol","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/kandivali-west-restaurants","49 min","","North Indian, Chinese, Fast Food","","₹200 for one","","475+ orders placed from here recently","Nagori Tea & Cold Drink House","","The Tea Lounge","4.3","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","50 min","Pastel N Cake","-","Bakery, Desserts, Fast Food","₹200 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","Restaurant partner follows WHO protocol","","","","","","","","https://www.zomato.com/mumbai/nagori-tea-cold-drink-house-1-malad-west/order","https://www.zomato.com/mumbai/the-tea-lounge-goregaon-west/order","https://www.zomato.com/mumbai/pastel-n-cake-goregaon-west/order"
"","star-fill","star-fill","50% OFF up to 100","63 min","star-fill","https://www.zomato.com/mumbai/kandivali-west-restaurants","","","Biryani, Kebab, North Indian, Beverages","","₹200 for one","","","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","57 min","","Salad, Italian, Fast Food, North Indian, Mughlai, Chinese, Desserts, Sichuan","","₹200 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","","Follows all Max Safety measures to ensure your food is safe","Lord Of Biryani","","Ek Tummy","-","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","Opens at 7:30pm","Chullas Gujrati Thali","3.9","Gujarati, North Indian","₹200 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","1400+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/kandivali-west-restaurants","1400+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/lord-of-biryani-malad-east/order","https://www.zomato.com/mumbai/ek-tummy-borivali-east/order","https://www.zomato.com/mumbai/chullas-gujrati-thali-kandivali-west/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","Currently not accepting orders","","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","Pizza, Fast Food, Italian","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹200 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","1075+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/kandivali-west-restaurants","1075+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/kandivali-west-restaurants","Opens in 10 minutes","https://www.zomato.com/mumbai/kandivali-west-restaurants","Cafe, Beverages, Desserts","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹200 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","750+ orders placed from here recently","Sbarro - New York Pizza","4.3","Starbucks Coffee","3.5","Follows all Max Safety measures to ensure your food is safe","750+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","Currently not accepting orders","Barbeque Nation","3.6","North Indian, BBQ, Biryani, Kebab, Beverages, Desserts","₹200 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","1925+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/kandivali-west-restaurants","1925+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/sbarro-new-york-pizza-kandivali-east/order","https://www.zomato.com/mumbai/starbucks-coffee-kandivali-east/order","https://www.zomato.com/mumbai/barbeque-nation-kandivali-east/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","Currently not accepting orders","","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","Desserts, Waffle, Bakery, Beverages, Ice Cream","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹200 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","3700+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/kandivali-west-restaurants","3700+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","","Currently not accepting orders","","Mithai, Desserts, Street Food, Gujarati","","₹200 for one","","Restaurant partner follows WHO protocol","99 Pancakes","4.1","Purshottam Kandoi Haribhai Damodar Mithaiwala","4.2","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","","Opens at 6pm","UBQ By Barbeque Nation","3.7","North Indian, BBQ, Chinese, Street Food, Kebab, Beverages, Desserts","₹200 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","1150+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/kandivali-west-restaurants","1150+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/99-pancakes-kandivali-west/order","https://www.zomato.com/mumbai/purshottam-kandoi-haribhai-damodar-mithaiwala-borivali-west/order","https://www.zomato.com/mumbai/ubq-by-barbeque-nation-kandivali-east/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","Currently not accepting orders","","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","Mithai, Street Food, Desserts","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹200 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","8625+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/kandivali-west-restaurants","8625+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/kandivali-west-restaurants","","","Mithai","","₹200 for one","","450+ orders placed from here recently","Bikaji Food Junxon","4.1","J.J Jalebi","4.3","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","Opens at 4:30pm","Franco’s Pizzeria","4.0","Pizza, Pasta, Fast Food","₹200 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","2225+ orders placed from here recently","","","","","","","","https://www.zomato.com/mumbai/bikaji-food-junxon-malad-west/order","https://www.zomato.com/mumbai/j-j-jalebi-marve/order","https://www.zomato.com/mumbai/francos-pizzeria-kandivali-west/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","Currently not accepting orders","","https://www.zomato.com/mumbai/kandivali-west-restaurants","","","Pizza, Wraps, Sandwich, Fast Food, Waffle, Shake, Beverages","","₹200 for one","","Restaurant partner follows WHO protocol","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","","","","North Indian, Fast Food, Chinese, South Indian, Italian, Beverages, Shake, Sichuan","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹200 for one","","Follows all Max Safety measures to ensure your food is safe","TGC : The Gargi's Café","3.9","Aditi Fast Food","4.1","Opening hours not available","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","Opens at 3:30pm","Amul Ice Cream Parlour","3.1","Desserts, Beverages, Ice Cream, Fast Food, Shake","₹100 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","75+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/kandivali-west-restaurants","75+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/tgc-the-gargis-caf%C3%A9-1-malad-west/order","https://www.zomato.com/mumbai/aditi-fast-food-malad-west/order","https://www.zomato.com/mumbai/amul-ice-cream-parlour-3-malad-west/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","Currently not accepting orders","","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","Street Food, Chinese, North Indian, Fast Food, South Indian, Sandwich, Sichuan, Maharashtrian","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹100 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","650+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/kandivali-west-restaurants","650+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/kandivali-west-restaurants","Currently not accepting orders","https://www.zomato.com/mumbai/kandivali-west-restaurants","Fast Food, Street Food, Beverages","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹100 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","1725+ orders placed from here recently","Dwarka Pav Bhaji","3.9","Anda Apna Apna","4.2","Follows all Max Safety measures to ensure your food is safe","1725+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","Currently not accepting orders","Hotel Gopal Krishna","4.1","South Indian, Beverages","₹100 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","700+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/kandivali-west-restaurants","700+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/dwarka-pav-bhaji-1-mira-road/order","https://www.zomato.com/mumbai/anda-apna-apna-malad-west/order","https://www.zomato.com/mumbai/hotel-gopal-krishna-malad-west/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","Currently not accepting orders","","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","Gujarati","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹100 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","525+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/kandivali-west-restaurants","525+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/kandivali-west-restaurants","","","Street Food, Fast Food, North Indian","","₹100 for one","","300+ orders placed from here recently","Gujarati Jalsa","4.3","Egg Station","3.3","Opening hours not available","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","Opens tomorrow at 6am","Famous Idli Center","3.8","South Indian","₹100 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","200+ orders placed from here recently","","","","","","","","https://www.zomato.com/mumbai/gujarati-jalsa-borivali-west/order","https://www.zomato.com/mumbai/egg-station-borivali-west/order","https://www.zomato.com/mumbai/famous-idli-center-malad-west/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","35 min","","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","Gujarati, Healthy Food","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹100 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","1000+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/kandivali-west-restaurants","1000+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/kandivali-west-restaurants","","https://www.zomato.com/mumbai/kandivali-west-restaurants","Chinese, Thai, Seafood, Asian, Desserts, Sichuan","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹100 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","3725+ orders placed from here recently","Touch Of Gujarat","4.0","Stir Fry Grill","4.0","Follows all Max Safety measures to ensure your food is safe","3725+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","Opens at 6:30pm","Kababi Nation","3.7","Kebab, North Indian, Mughlai, Biryani, Chinese, Seafood, Sichuan","₹100 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","500+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/kandivali-west-restaurants","500+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/touch-of-gujarat-kandivali-west/order","https://www.zomato.com/mumbai/stir-fry-grill-malad-west/order","https://www.zomato.com/mumbai/kababi-nation-borivali-west/order"
"star-fill","star-fill","star-fill","50% OFF up to 100","Opening hours not available","","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","https://www.zomato.com/mumbai/kandivali-west-restaurants","Chinese, Sichuan","https://www.zomato.com/mumbai/kandivali-west-restaurants","₹100 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","325+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/kandivali-west-restaurants","325+ orders placed from here recently","https://www.zomato.com/mumbai/kandivali-west-restaurants","Currently not accepting orders","","Street Food, Chinese, Sichuan","","₹100 for one","","50% OFF up to 100","","","Q Fussion","3.5","Ministry Of Eggs","3.7","","","","","https://www.zomato.com/mumbai/kandivali-west-restaurants","50% OFF up to 100","","Dhanvantri Dry Fruits And Sweets","-","Street Food","₹100 for one","https://www.zomato.com/mumbai/kandivali-west-restaurants","Restaurant partner follows WHO protocol","","","","","","","","https://www.zomato.com/mumbai/q-fussion-borivali-west/order","https://www.zomato.com/mumbai/ministry-of-eggs-kandivali-east/order","https://www.zomato.com/mumbai/dhanvantri-dry-fruits-and-sweets-kandivali-west/order"
